OB957-QG01-Y-02-0.0,YGJPRCITRSTUD,NO SIZE,NO COLOR
OB957-TP01-Y-02-0.0,YGJPRBLTPSTUD, NO SIZE,NO COLOR
CB1171- -Y-02-46.0,YGSVGLNKLC,NO SIZE,NO COLOR
CB553- -Y-02-41.0,YGSVGLNKLC,NO SIZE,NO COLOR
OB1007-B-YW-Q6-0.0,YGDLCTDIASTUD,NO SIZE,NO COLOR
OB1343- -Y-02-0.0,YGDLCTHOOP,NO SIZE,NO COLOR
AB471-QG01-Y-02-7.0,YGJPRCITRNG,SIZE 7,NO COLOR
OB1377-B-YW-Q6-0.0,YGDLCTDIASTUD,NO SIZE,NO COLOR
CB1779- -Y-02-42.0,YGLUNHLFCLR,NO SIZE,NO COLOR
AB549- -Y-02-7.0,YGLUNSMRNG,SIZE 7,NO COLOR
BB553- -Y-02-19.0,YGSVGLMDBRC,NO SIZE,NO COLOR
CB1624- -Y-02-92.0,YGSVGLLG36NKLC,NO SIZE,NO COLOR
OB1289-B-YW-Q6-0.0,YGDIASVGL2DRPEAR,NO SIZE,NO COLOR
BB1304-MIX01-Y-02-18.5,YGJPRMXSTNBRC,NO SIZE,NO COLOR
CB1304-MIX01-Y-02-43.0,YGJPRMXSTNNKLC,NO SIZE,NO COLOR
SB51-MIX01-Y-02-6.0,YGJPR3STRBNGL,NO SIZE,NO COLOR
CB1690-B-YW-Q6-42.0,YGDIASVGLPNDT,NO SIZE,NO COLOR
OB901-MIX01-Y-02-0.0,YGJPRMXSTNEAR,NO SIZE,NO COLOR
OB903-MIX01-Y-02-0.0,YGJPRMXSTNSTREAR,NO SIZE,NO COLOR
CB1674-B-YW-Q6-42.0,YGDJLMDPNDT,NO SIZE,NO COLOR
CB1752-B-YW-Q6-125.5,YGDIASVGLNKLC,NO SIZE,NO COLOR
CB1843-B-YW-Q6-125.0,YGDIASVGLSM36NKLC,NO SIZE,NO COLOR
CB1340- -Y-02-92.0,18K JAIPUR LINK NECKLACE,NO SIZE,NO COLOR
BG713-B-YW-M5-15.0,18K GOA DIAMOND BRACE,NO SIZE,NO COLOR
CG713-B-YW-M5-41.0,18K GOA DIAMOND NECK,NO SIZE,NO COLOR
OG330-B-YW-M5-0.0,18K GOA DIAMOND RING,NO SIZE,NO COLOR
OB957-RG01-Y-02-0.0,18K JAIPUR GARNET EAR,NO SIZE,NO COLOR
BB1793- -Y-02-15.0,18K DELICATI BRACELET,NO SIZE,NO COLOR
CB1790- -Y-02-100.0,YGLUNROLONKLC,NO SIZE,NO COLOR
OB882- -Y-02-0.0,YGJPRGLDSTUD,NO SIZE,NO COLOR
